文件编号,文件名称,文件层级,对应CNAS章节,当前版本,生效日期,编制人,审核人,批准人,分发范围,文件状态,下次评审日期,文件链接,作废文件链接,备注
B4CLAF-QM-01,质量手册,一级手册,4.1~8.9全要素,3.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-12-31,https://example.com/doc/QM-01,
QP-001,公正性和保密性程序,二级程序,4.1 组织,2.0,2024-01-01,E005,李四,质量负责人,全部门,现行有效,2026-06-30,https://example.com/doc/QP-001,
QP-002,保证实验室活动诚信性程序,二级程序,4.2 诚信性,1.0,2024-01-01,E005,李四,质量负责人,全部门,现行有效,2026-06-30,https://example.com/doc/QP-002,
QP-008,设备管理程序,二级程序,6.4 设备,2.1,2024-06-01,王五,李四,质量负责人,设备管理部|化学检测部|物理检测部,现行有效,2026-05-31,https://example.com/doc/QP-008,
QP-009,测量溯源程序,二级程序,6.5 计量溯源,2.0,2024-01-01,王五,李四,质量负责人,设备管理部|化学检测部|物理检测部,现行有效,2026-06-30,https://example.com/doc/QP-009,
QP-010,期间核查程序,二级程序,6.4 设备,1.1,2024-06-01,王五,李四,质量负责人,设备管理部|化学检测部|物理检测部,现行有效,2026-05-31,https://example.com/doc/QP-010,
QP-011,设备验收程序,二级程序,6.4 设备,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/QP-011,
QP-013,合同评审程序,二级程序,7.1 要求标书和合同评审,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-013,
QP-014,检测方法程序,二级程序,7.2 方法,2.0,2024-01-01,李四,质量负责人,实验室主任,化学检测部|物理检测部,现行有效,2026-06-30,https://example.com/doc/QP-014,
QP-015,抽样程序,二级程序,7.3 抽样,1.0,2024-01-01,E001,李四,质量负责人,化学检测部|物理检测部,现行有效,2026-06-30,https://example.com/doc/QP-015,
QP-016,样品管理程序,二级程序,7.4 检测物品处置,2.0,2024-01-01,E001,李四,质量负责人,化学检测部|物理检测部,现行有效,2026-06-30,https://example.com/doc/QP-016,
QP-018,报告管理程序,二级程序,7.8 报告,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-018,
QP-019,质量控制程序,二级程序,7.7 结果有效性,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-019,
QP-020,能力验证程序,二级程序,7.7 结果有效性,1.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-020,
QP-021,客户满意度程序,二级程序,7.9 投诉,1.0,2024-01-01,E005,李四,质量负责人,全部门,现行有效,2026-06-30,https://example.com/doc/QP-021,
QP-024,不符合工作管理程序,二级程序,7.10 不符合工作,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-024,
QP-029,纠正措施程序,二级程序,8.7 纠正措施,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-029,
QP-030,内部审核程序,二级程序,8.8 内部审核,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-030,
QP-031,管理评审程序,二级程序,8.9 管理评审,2.0,2024-01-01,李四,质量负责人,实验室主任,全部门,现行有效,2026-06-30,https://example.com/doc/QP-031,
R01,设备验收记录,四级记录,6.4 设备,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/R01,
R02,设备台账,四级记录,6.4 设备,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/R02,
R03,校准计划表,四级记录,6.5 计量溯源,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/R03,
R04,期间核查记录,四级记录,6.4 设备,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/R04,
R05,设备维护记录,四级记录,6.4 设备,1.0,2024-01-01,王五,李四,质量负责人,设备管理部,现行有效,2026-06-30,https://example.com/doc/R05,
R06,检测申请单,四级记录,7.1 要求标书和合同评审,1.0,2024-01-01,E001,李四,质量负责人,全部门,现行有效,2026-06-30,https://example.com/doc/R06,
R07,合同评审记录,四级记录,7.1 要求标书和合同评审,1.0,2024-01-01,E001,李四,质量负责人,全部门,现行有效,2026-06-30,https://example.com/doc/R07,
R08,样品登记表,四级记录,7.4 检测物品处置,1.0,2024-01-01,E001,李四,质量负责人,化学检测部|物理检测部,现行有效,2026-06-30,https://example.com/doc/R08,
SOP-EQ-001,ICP-MS操作规程,三级SOP,6.4 设备,1.0,2024-01-01,张三,王五,李四,化学检测部,现行有效,2026-06-30,https://example.com/doc/SOP-EQ-001,
SOP-EQ-002,AAS操作规程,三级SOP,6.4 设备,1.0,2024-01-01,张三,王五,李四,化学检测部,现行有效,2026-06-30,https://example.com/doc/SOP-EQ-002,
SOP-EQ-003,万能材料试验机操作规程,三级SOP,6.4 设备,1.0,2024-01-01,赵六,王五,李四,物理检测部,现行有效,2026-06-30,https://example.com/doc/SOP-EQ-003,
